Source,Target,Type,Universe,Density
Rod Evans,DEEP PURPLE #1,Band,Deep Purple,
Nick Simper,DEEP PURPLE #1,Band,Deep Purple,
Jon Lord,DEEP PURPLE #1,Band,Deep Purple,
Ian Paice,DEEP PURPLE #1,Band,Deep Purple,
Ritchie Blackmore,DEEP PURPLE #1,Band,Deep Purple,
Roger Glover,DEEP PURPLE #2,Band,Deep Purple,
Jon Lord,DEEP PURPLE #2,Band,Deep Purple,
Ian Paice,DEEP PURPLE #2,Band,Deep Purple,
Ritchie Blackmore,DEEP PURPLE #2,Band,Deep Purple,
Ian Gillan,DEEP PURPLE #2,Band,Deep Purple,
David Coverdale,DEEP PURPLE #3,Band,Deep Purple,
Glenn Hughes,DEEP PURPLE #3,Band,Deep Purple,
Jon Lord,DEEP PURPLE #3,Band,Deep Purple,
Ian Paice,DEEP PURPLE #3,Band,Deep Purple,
Ritchie Blackmore,DEEP PURPLE #3,Band,Deep Purple,
Tommy Bolin,DEEP PURPLE #4,Band,Deep Purple,
David Coverdale,DEEP PURPLE #4,Band,Deep Purple,
Glenn Hughes,DEEP PURPLE #4,Band,Deep Purple,
Jon Lord,DEEP PURPLE #4,Band,Deep Purple,
Ian Paice,DEEP PURPLE #4,Band,Deep Purple,
Joe Lynn Turner,DEEP PURPLE #5,Band,Deep Purple,
Ritchie Blackmore,DEEP PURPLE #5,Band,Deep Purple,
Roger Glover,DEEP PURPLE #5,Band,Deep Purple,
Jon Lord,DEEP PURPLE #5,Band,Deep Purple,
Ian Paice,DEEP PURPLE #5,Band,Deep Purple,
Joe Satriani,DEEP PURPLE #6,Band,Deep Purple,
Jon Lord,DEEP PURPLE #6,Band,Deep Purple,
Ian Gillan,DEEP PURPLE #6,Band,Deep Purple,
Roger Glover,DEEP PURPLE #6,Band,Deep Purple,
Ian Paice,DEEP PURPLE #6,Band,Deep Purple,
Steve Morse,DEEP PURPLE #7,Band,Deep Purple,
Ian Gillan,DEEP PURPLE #7,Band,Deep Purple,
Roger Glover,DEEP PURPLE #7,Band,Deep Purple,
Ian Paice,DEEP PURPLE #7,Band,Deep Purple,
Jon Lord,DEEP PURPLE #7,Band,Deep Purple,
Don Airey,DEEP PURPLE #8,Band,Deep Purple,
Roger Glover,DEEP PURPLE #8,Band,Deep Purple,
Ian Paice,DEEP PURPLE #8,Band,Deep Purple,
Ian Gillan,DEEP PURPLE #8,Band,Deep Purple,
Steve Morse,DEEP PURPLE #8,Band,Deep Purple,
Ritchie Blackmore,RAINBOW #1,Band,Rainbow,
Ronnie James Dio,RAINBOW #1,Band,Rainbow,
Gary Driscoll,RAINBOW #1,Band,Rainbow,
Mickey Lee Soule,RAINBOW #1,Band,Rainbow,
Craig Gruber,RAINBOW #1,Band,Rainbow,
Ronnie James Dio,RAINBOW #2,Band,Rainbow,
Ritchie Blackmore,RAINBOW #2,Band,Rainbow,
Cozy Powell,RAINBOW #2,Band,Rainbow,
Tony Carey,RAINBOW #2,Band,Rainbow,
Jimmy Bain,RAINBOW #2,Band,Rainbow,
Ritchie Blackmore,RAINBOW #3,Band,Rainbow,
Ronnie James Dio,RAINBOW #3,Band,Rainbow,
Cozy Powell,RAINBOW #3,Band,Rainbow,
Tony Carey,RAINBOW #3,Band,Rainbow,
Mark Clarke,RAINBOW #3,Band,Rainbow,
Ritchie Blackmore,RAINBOW #4,Band,Rainbow,
Ronnie James Dio,RAINBOW #4,Band,Rainbow,
Cozy Powell,RAINBOW #4,Band,Rainbow,
Bob Daisley,RAINBOW #4,Band,Rainbow,
David Stone,RAINBOW #4,Band,Rainbow,
Ritchie Blackmore,RAINBOW #5,Band,Rainbow,
Cozy Powell,RAINBOW #5,Band,Rainbow,
Roger Glover,RAINBOW #5,Band,Rainbow,
Graham Bonnet,RAINBOW #5,Band,Rainbow,
Don Airey,RAINBOW #5,Band,Rainbow,
Ritchie Blackmore,RAINBOW #6,Band,Rainbow,
Don Airey,RAINBOW #6,Band,Rainbow,
Joe Lynn Turner,RAINBOW #6,Band,Rainbow,
Roger Glover,RAINBOW #6,Band,Rainbow,
Bobby Rondinelli,RAINBOW #6,Band,Rainbow,
Ritchie Blackmore,RAINBOW #7,Band,Rainbow,
Joe Lynn Turner,RAINBOW #7,Band,Rainbow,
Roger Glover,RAINBOW #7,Band,Rainbow,
Bobby Rondinelli,RAINBOW #7,Band,Rainbow,
David Rosenthal,RAINBOW #7,Band,Rainbow,
Ritchie Blackmore,RAINBOW #8,Band,Rainbow,
David Rosenthal,RAINBOW #8,Band,Rainbow,
Roger Glover,RAINBOW #8,Band,Rainbow,
Joe Lynn Turner,RAINBOW #8,Band,Rainbow,
Chuck Burgi,RAINBOW #8,Band,Rainbow,
Ritchie Blackmore,RAINBOW #9,Band,Rainbow,
John O'Reilly,RAINBOW #9,Band,Rainbow,
Doogie White,RAINBOW #9,Band,Rainbow,
Paul Morris,RAINBOW #9,Band,Rainbow,
Greg Smith,RAINBOW #9,Band,Rainbow,
Ritchie Blackmore,RAINBOW #10,Band,Rainbow,
Chuck Burgi,RAINBOW #10,Band,Rainbow,
Greg Smith,RAINBOW #10,Band,Rainbow,
Paul Morris,RAINBOW #10,Band,Rainbow,
Doogie White,RAINBOW #10,Band,Rainbow,
Ritchie Blackmore,RAINBOW #11,Band,Rainbow,
Doogie White,RAINBOW #11,Band,Rainbow,
Greg Smith,RAINBOW #11,Band,Rainbow,
Paul Morris,RAINBOW #11,Band,Rainbow,
John Miceli,RAINBOW #11,Band,Rainbow,
Ritchie Blackmore,RAINBOW #12,Band,Rainbow,
Jens Johansson,RAINBOW #12,Band,Rainbow,
Bob Curiano,RAINBOW #12,Band,Rainbow,
Ronnie Romero,RAINBOW #12,Band,Rainbow,
David Keith,RAINBOW #12,Band,Rainbow,
Candice Night,RAINBOW #12,Band,Rainbow,
Christina 'Lady Lynn' Skleros,RAINBOW #12,Band,Rainbow,
Ritchie Blackmore,BLACKMORE'S NIGHT #1,Band,Blackmore's Night,
Candice Night,BLACKMORE'S NIGHT #1,Band,Blackmore's Night,
Scott Hazell,BLACKMORE'S NIGHT #1,Band,Blackmore's Night,
Pat Regan,BLACKMORE'S NIGHT #1,Band,Blackmore's Night,
Gerald Flashman,BLACKMORE'S NIGHT #1,Band,Blackmore's Night,
Tom Brown,BLACKMORE'S NIGHT #1,Band,Blackmore's Night,
Lady Green,BLACKMORE'S NIGHT #1,Band,Blackmore's Night,
Ritchie Blackmore,BLACKMORE'S NIGHT #2,Band,Blackmore's Night,
Candice Night,BLACKMORE'S NIGHT #2,Band,Blackmore's Night,
Scott Hazell,BLACKMORE'S NIGHT #2,Band,Blackmore's Night,
Jessie Haynes,BLACKMORE'S NIGHT #2,Band,Blackmore's Night,
Joseph James,BLACKMORE'S NIGHT #2,Band,Blackmore's Night,
Mick Cervino,BLACKMORE'S NIGHT #2,Band,Blackmore's Night,
John O'Reilly,BLACKMORE'S NIGHT #2,Band,Blackmore's Night,
Ritchie Blackmore,BLACKMORE'S NIGHT #3,Band,Blackmore's Night,
Candice Night,BLACKMORE'S NIGHT #3,Band,Blackmore's Night,
Scott Hazell,BLACKMORE'S NIGHT #3,Band,Blackmore's Night,
Rachel Birkin,BLACKMORE'S NIGHT #3,Band,Blackmore's Night,
Joseph James,BLACKMORE'S NIGHT #3,Band,Blackmore's Night,
Adam Forgione,BLACKMORE'S NIGHT #3,Band,Blackmore's Night,
Mick Cervino,BLACKMORE'S NIGHT #3,Band,Blackmore's Night,
Alex Alexander,BLACKMORE'S NIGHT #3,Band,Blackmore's Night,
Ritchie Blackmore,BLACKMORE'S NIGHT #4,Band,Blackmore's Night,
Candice Night,BLACKMORE'S NIGHT #4,Band,Blackmore's Night,
